train,test,n,bacc,f1,auc
c2,c2 (30% heldout),16629,0.9,0.899,0.959
c2,c2025 (all),3979,0.839,0.839,0.911
c2025,c2 (all),55428,0.719,0.75,0.835
c2025,c2025 (30% heldout),1194,0.96,0.96,0.992
