False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.0033333333333333335,0.9992163181304932
0.0,0.03666666666666667,0.9992039799690247
0.0,0.043333333333333335,0.999203622341156
0.0,0.05333333333333334,0.9992015957832336
0.0,0.06,0.9992002844810486
0.0,0.09,0.9991945624351501
0.0,0.10333333333333333,0.9991933703422546
0.0,0.10666666666666667,0.9991926550865173
0.0,0.12,0.9991924166679382
0.0,0.13666666666666666,0.999190628528595
0.0,0.14666666666666667,0.9991902709007263
0.0,0.15,0.9991897940635681
0.0,0.15666666666666668,0.9991893172264099
0.0,0.18666666666666668,0.9991872906684875
0.0,0.19666666666666666,0.999187171459198
0.0,0.23,0.9991849064826965
0.0,0.24333333333333335,0.9991841912269592
0.0,0.26666666666666666,0.9991812109947205
0.0,0.2733333333333333,0.9991809725761414
0.0,0.32,0.9991757273674011
0.0,0.32666666666666666,0.999175488948822
0.0,0.3333333333333333,0.9991740584373474
0.0,0.35333333333333333,0.9991733431816101
0.0,0.36333333333333334,0.9991723299026489
0.0,0.37666666666666665,0.9991716146469116
0.0,0.38333333333333336,0.9991710186004639
0.0033444816053511705,0.38666666666666666,0.9991705417633057
0.0033444816053511705,0.39666666666666667,0.9991700649261475
0.0033444816053511705,0.4033333333333333,0.9991695880889893
0.0033444816053511705,0.42,0.999167799949646
0.0033444816053511705,0.43333333333333335,0.9991672039031982
0.0033444816053511705,0.4633333333333333,0.9991636276245117
0.0033444816053511705,0.47,0.9991631507873535
0.0033444816053511705,0.4766666666666667,0.9991620779037476
0.006688963210702341,0.48333333333333334,0.999161958694458
0.006688963210702341,0.4866666666666667,0.9991617202758789
0.006688963210702341,0.49333333333333335,0.9991614818572998
0.006688963210702341,0.49666666666666665,0.999160647392273
0.010033444816053512,0.5,0.9991605281829834
0.010033444816053512,0.5066666666666667,0.9991599321365356
0.010033444816053512,0.5133333333333333,0.999159574508667
0.010033444816053512,0.5366666666666666,0.9991563558578491
0.010033444816053512,0.5433333333333333,0.999154806137085
0.010033444816053512,0.5733333333333334,0.9991488456726074
0.010033444816053512,0.58,0.9991474151611328
0.010033444816053512,0.5966666666666667,0.9991456270217896
0.013377926421404682,0.6,0.9991452693939209
0.013377926421404682,0.7033333333333334,0.9991083741188049
0.013377926421404682,0.71,0.9991071820259094
0.013377926421404682,0.7633333333333333,0.9990746974945068
0.016722408026755852,0.7633333333333333,0.9990732669830322
0.016722408026755852,0.7666666666666667,0.9990712404251099
0.016722408026755852,0.7733333333333333,0.9990686774253845
0.016722408026755852,0.8333333333333334,0.9990077614784241
0.016722408026755852,0.84,0.9990066885948181
0.016722408026755852,0.93,0.9987095594406128
0.020066889632107024,0.93,0.9986767172813416
0.020066889632107024,0.9733333333333334,0.9969658255577087
0.026755852842809364,0.9733333333333334,0.9959508180618286
0.026755852842809364,0.9766666666666667,0.9948306679725647
0.030100334448160536,0.9766666666666667,0.9946075677871704
0.030100334448160536,0.99,0.980918288230896
0.03678929765886288,0.99,0.9494343996047974
0.03678929765886288,0.9933333333333333,0.8917085528373718
0.046822742474916385,0.9933333333333333,0.04169734939932823
0.046822742474916385,0.9966666666666667,0.017620552331209183
0.08695652173913043,0.9966666666666667,0.00018325820565223694
0.08695652173913043,1.0,0.0001709756179479882
1.0,1.0,3.853922680718824e-05
