rep,vanilla_probe_acc
0,0.9099630335741073
1,0.9030803863125767
2,0.9109390268388997
3,0.9158143105511527
4,0.9201305908362647
5,0.9180981067125646
6,0.9127305178145149
7,0.9156476285097966
8,0.9123415769592681
9,0.9090621447687586
