probe,acc_mean,acc_std,majority_floor,lift_over_floor
baseline,0.8490987856613769,0.0183426026252104,0.7484909456740443,0.1006078399873325
adversarial,0.9315930057686695,0.0049702686930732,0.7484909456740443,0.1831020600946253
source_balanced,0.8719130883706313,0.0232863323015943,0.7484909456740443,0.123422142696587
label_only_control,0.7652577944378353,0.0021454725656006807,0.7484909456740443,0.016766848763790976
