rep,method,majority_floor,label_only,probe_acc,lift_over_label_only
0,baseline,0.6177086449297039,0.76608129033413,0.9201341711196441,0.15405288078551416
0,source_balanced,0.6177086449297039,0.76608129033413,0.9240237014759718,0.15794241114184182
1,baseline,0.6251869578223153,0.7618919112447748,0.9219332635178074,0.1600413522730325
1,source_balanced,0.6251869578223153,0.7618919112447748,0.9183314984381014,0.1564395871933265
2,baseline,0.6195457262402869,0.7633023224683756,0.9243870334426522,0.16108471097427657
2,source_balanced,0.6195457262402869,0.7633023224683756,0.9282707538540482,0.16496843138567263
3,baseline,0.6274804570054119,0.7672934588724063,0.9326505452821243,0.16535708640971802
3,source_balanced,0.6274804570054119,0.7672934588724063,0.9215249836302467,0.1542315247578404
4,baseline,0.6218965001495662,0.7654865157577222,0.9273099540828657,0.16182343832514345
4,source_balanced,0.6218965001495662,0.7654865157577222,0.9288047223937774,0.16331820663605523
5,baseline,0.6193917494730503,0.7747703596340247,0.9373693269317874,0.1625989672977627
5,source_balanced,0.6193917494730503,0.7747703596340247,0.9403795633662468,0.1656092037322221
6,baseline,0.6180514046622834,0.7701742409031078,0.9372398099190148,0.16706556901590697
6,source_balanced,0.6180514046622834,0.7701742409031078,0.92737612386498,0.1572018829618722
7,baseline,0.6242895602752019,0.7660799477278626,0.9309018733832783,0.16482192565541576
7,source_balanced,0.6242895602752019,0.7660799477278626,0.9243217600673093,0.15824181233944667
8,baseline,0.6211347943560492,0.7670430550490521,0.933051492271882,0.16600843722282987
8,source_balanced,0.6211347943560492,0.7670430550490521,0.9186433810121967,0.15160032596314454
9,baseline,0.617110379898295,0.7672708394869453,0.920429544498447,0.15315870501150175
9,source_balanced,0.617110379898295,0.7672708394869453,0.9174400078766233,0.15016916838967798
