Metric,Point_Estimate,CI_Lower,CI_Upper,N
Balanced Accuracy,0.8383720930232558,0.6763888888888889,0.9795918367346939,53
Accuracy,0.9245283018867925,0.8490566037735849,0.9811320754716981,53
